,# time passed,number of events,total number,average number
0,7.5,232.0,232.0,30.933333333333334
1,15.0,240.0,472.0,31.466666666666665
2,22.5,245.0,717.0,31.866666666666667
3,30.0,226.0,943.0,31.433333333333334
4,37.5,223.0,1166.0,31.093333333333334
5,45.0,218.0,1384.0,30.755555555555556
6,52.5,207.0,1591.0,30.304761904761904
7,60.0,235.0,1826.0,30.433333333333334
8,67.5,260.0,2086.0,30.903703703703705
9,75.0,218.0,2304.0,30.72
10,82.5,207.0,2511.0,30.436363636363637
11,90.0,259.0,2770.0,30.77777777777778
12,97.5,245.0,3015.0,30.923076923076923
13,105.0,269.0,3284.0,31.276190476190475
14,112.5,229.0,3513.0,31.226666666666667
15,120.0,246.0,3759.0,31.325
16,127.5,234.0,3993.0,31.31764705882353
17,135.0,232.0,4225.0,31.296296296296298
18,142.5,213.0,4438.0,31.143859649122806
19,150.0,230.0,4668.0,31.12
20,157.5,237.0,4905.0,31.142857142857142
21,165.0,226.0,5131.0,31.096969696969698
22,172.5,242.0,5373.0,31.14782608695652
23,180.0,238.0,5611.0,31.17222222222222
24,187.5,249.0,5860.0,31.253333333333334
25,195.0,202.0,6062.0,31.087179487179487
26,202.5,246.0,6308.0,31.150617283950616
27,210.0,244.0,6552.0,31.2
28,217.5,226.0,6778.0,31.163218390804598
29,225.0,215.0,6993.0,31.08
30,232.5,273.0,7266.0,31.251612903225805
31,240.0,236.0,7502.0,31.258333333333333
32,247.5,248.0,7750.0,31.31313131313131
33,255.0,213.0,7963.0,31.227450980392156
34,262.5,226.0,8189.0,31.196190476190477
35,270.0,224.0,8413.0,31.159259259259258
36,277.5,237.0,8650.0,31.17117117117117
37,285.0,230.0,8880.0,31.157894736842106
38,292.5,256.0,9136.0,31.234188034188033
39,300.0,230.0,9366.0,31.22
40,307.5,240.0,9606.0,31.2390243902439
41,315.0,243.0,9849.0,31.266666666666666
42,322.5,232.0,10081.0,31.25891472868217
43,330.0,237.0,10318.0,31.266666666666666
44,337.5,230.0,10548.0,31.253333333333334
45,345.0,222.0,10770.0,31.217391304347824
46,352.5,237.0,11007.0,31.22553191489362
47,360.0,230.0,11237.0,31.21388888888889
48,367.5,240.0,11477.0,31.229931972789117
49,375.0,235.0,11712.0,31.232
50,382.5,240.0,11952.0,31.24705882352941
51,390.0,232.0,12184.0,31.24102564102564
52,397.5,222.0,12406.0,31.210062893081762
53,405.0,244.0,12650.0,31.234567901234566
54,412.5,234.0,12884.0,31.233939393939394
55,420.0,253.0,13137.0,31.27857142857143
56,427.5,257.0,13394.0,31.330994152046785
57,435.0,241.0,13635.0,31.344827586206897
58,442.5,234.0,13869.0,31.34237288135593
59,450.0,234.0,14103.0,31.34
60,457.5,232.0,14335.0,31.333333333333332
61,465.0,224.0,14559.0,31.309677419354838
62,472.5,257.0,14816.0,31.356613756613758
63,480.0,222.0,15038.0,31.329166666666666
64,487.5,228.0,15266.0,31.314871794871795
65,495.0,232.0,15498.0,31.30909090909091
66,502.5,228.0,15726.0,31.2955223880597
67,510.0,193.0,15919.0,31.21372549019608
68,517.5,239.0,16158.0,31.223188405797103
69,525.0,241.0,16399.0,31.236190476190476
70,532.5,250.0,16649.0,31.265727699530515
71,540.0,244.0,16893.0,31.283333333333335
72,547.5,224.0,17117.0,31.26392694063927
73,555.0,249.0,17366.0,31.29009009009009
74,562.5,238.0,17604.0,31.296
75,570.0,214.0,17818.0,31.25964912280702
76,577.5,262.0,18080.0,31.307359307359306
77,585.0,232.0,18312.0,31.3025641025641
78,592.5,233.0,18545.0,31.29957805907173
79,600.0,212.0,18757.0,31.261666666666667
80,607.5,229.0,18986.0,31.25267489711934
81,615.0,221.0,19207.0,31.23089430894309
82,622.5,236.0,19443.0,31.233734939759035
83,630.0,249.0,19692.0,31.257142857142856
84,637.5,231.0,19923.0,31.25176470588235
85,645.0,237.0,20160.0,31.25581395348837
86,652.5,269.0,20429.0,31.3088122605364
87,660.0,255.0,20684.0,31.33939393939394
88,667.5,246.0,20930.0,31.355805243445694
89,675.0,218.0,21148.0,31.33037037037037
90,682.5,228.0,21376.0,31.32014652014652
91,690.0,232.0,21608.0,31.315942028985507
92,697.5,251.0,21859.0,31.33906810035842
93,705.0,216.0,22075.0,31.31205673758865
94,712.5,233.0,22308.0,31.309473684210527
95,720.0,217.0,22525.0,31.28472222222222
96,727.5,222.0,22747.0,31.267353951890033
97,735.0,215.0,22962.0,31.240816326530613
98,742.5,209.0,23171.0,31.206734006734006
99,750.0,232.0,23403.0,31.204
100,757.5,236.0,23639.0,31.206600660066005
101,765.0,226.0,23865.0,31.19607843137255
102,772.5,247.0,24112.0,31.21294498381877
103,780.0,253.0,24365.0,31.237179487179485
104,787.5,212.0,24577.0,31.20888888888889
105,795.0,255.0,24832.0,31.235220125786164
106,802.5,231.0,25063.0,31.23115264797508
107,810.0,231.0,25294.0,31.22716049382716
108,817.5,240.0,25534.0,31.234250764525992
109,825.0,224.0,25758.0,31.221818181818183
110,832.5,231.0,25989.0,31.218018018018018
111,840.0,233.0,26222.0,31.216666666666665
112,847.5,246.0,26468.0,31.230678466076697
113,855.0,220.0,26688.0,31.2140350877193
114,862.5,265.0,26953.0,31.249855072463767
115,870.0,246.0,27199.0,31.263218390804596
116,877.5,263.0,27462.0,31.295726495726495
117,885.0,243.0,27705.0,31.305084745762713
118,892.5,240.0,27945.0,31.310924369747898
119,900.0,225.0,28170.0,31.3
120,907.5,237.0,28407.0,31.302479338842975
121,915.0,240.0,28647.0,31.308196721311475
122,922.5,235.0,28882.0,31.30840108401084
123,930.0,219.0,29101.0,31.291397849462367
124,937.5,233.0,29334.0,31.2896
125,945.0,266.0,29600.0,31.322751322751323
126,952.5,232.0,29832.0,31.31968503937008
127,960.0,252.0,30084.0,31.3375
128,967.5,247.0,30331.0,31.349870801033592
129,975.0,223.0,30554.0,31.3374358974359
130,982.5,216.0,30770.0,31.318066157760814
131,990.0,222.0,30992.0,31.305050505050506
132,997.5,239.0,31231.0,31.309273182957394
133,1005.0,240.0,31471.0,31.31442786069652
134,1012.5,226.0,31697.0,31.305679012345678
135,1020.0,235.0,31932.0,31.305882352941175
136,1027.5,239.0,32171.0,31.309975669099757
137,1035.0,248.0,32419.0,31.32270531400966
138,1042.5,275.0,32694.0,31.36115107913669
139,1050.0,261.0,32955.0,31.385714285714286
140,1057.5,253.0,33208.0,31.402364066193854
141,1065.0,227.0,33435.0,31.3943661971831
142,1072.5,231.0,33666.0,31.39020979020979
143,1080.0,231.0,33897.0,31.386111111111113
144,1087.5,227.0,34124.0,31.3783908045977
145,1095.0,224.0,34348.0,31.368036529680364
146,1102.5,253.0,34601.0,31.384126984126983
147,1110.0,243.0,34844.0,31.39099099099099
148,1117.5,231.0,35075.0,31.387024608501118
149,1125.0,234.0,35309.0,31.38577777777778
150,1132.5,246.0,35555.0,31.395143487858718
151,1140.0,226.0,35781.0,31.38684210526316
152,1147.5,229.0,36010.0,31.381263616557735
153,1155.0,226.0,36236.0,31.373160173160173
154,1162.5,245.0,36481.0,31.381505376344087
155,1170.0,225.0,36706.0,31.37264957264957
156,1177.5,244.0,36950.0,31.38004246284501
157,1185.0,267.0,37217.0,31.40675105485232
158,1192.5,213.0,37430.0,31.38784067085954
159,1200.0,222.0,37652.0,31.376666666666665
160,1207.5,222.0,37874.0,31.365631469979295
161,1215.0,223.0,38097.0,31.355555555555554
162,1222.5,265.0,38362.0,31.3799591002045
163,1230.0,232.0,38594.0,31.377235772357725
164,1237.5,232.0,38826.0,31.374545454545455
165,1245.0,217.0,39043.0,31.35983935742972
166,1252.5,260.0,39303.0,31.379640718562875
167,1260.0,230.0,39533.0,31.375396825396827
168,1267.5,257.0,39790.0,31.39250493096647
169,1275.0,202.0,39992.0,31.366274509803922
170,1282.5,233.0,40225.0,31.364522417153996
171,1290.0,232.0,40457.0,31.36201550387597
172,1297.5,258.0,40715.0,31.37957610789981
173,1305.0,231.0,40946.0,31.37624521072797
174,1312.5,231.0,41177.0,31.37295238095238
175,1320.0,234.0,41411.0,31.371969696969696
176,1327.5,224.0,41635.0,31.36346516007533
177,1335.0,226.0,41861.0,31.356554307116106
178,1342.5,241.0,42102.0,31.360893854748603
179,1350.0,242.0,42344.0,31.365925925925925
180,1357.5,225.0,42569.0,31.358379373848987
181,1365.0,230.0,42799.0,31.354578754578753
182,1372.5,223.0,43022.0,31.345719489981786
183,1380.0,242.0,43264.0,31.35072463768116
184,1387.5,214.0,43478.0,31.335495495495497
185,1395.0,215.0,43693.0,31.32114695340502
186,1402.5,237.0,43930.0,31.32263814616756
187,1410.0,227.0,44157.0,31.317021276595746
188,1417.5,217.0,44374.0,31.30440917107584
189,1425.0,222.0,44596.0,31.295438596491227
190,1432.5,251.0,44847.0,31.306806282722512
191,1440.0,215.0,45062.0,31.293055555555554
192,1447.5,227.0,45289.0,31.287737478411053
193,1455.0,250.0,45539.0,31.29828178694158
194,1462.5,246.0,45785.0,31.305982905982905
195,1470.0,222.0,46007.0,31.297278911564625
196,1477.5,233.0,46240.0,31.296108291032148
197,1485.0,235.0,46475.0,31.296296296296298
198,1492.5,212.0,46687.0,31.28107202680067
199,1500.0,212.0,46899.0,31.266
200,1507.5,243.0,47142.0,31.271641791044775
201,1515.0,233.0,47375.0,31.27062706270627
202,1522.5,226.0,47601.0,31.265024630541873
203,1530.0,237.0,47838.0,31.266666666666666
204,1537.5,221.0,48059.0,31.25788617886179
205,1545.0,231.0,48290.0,31.25566343042071
206,1552.5,203.0,48493.0,31.235426731078906
207,1560.0,235.0,48728.0,31.235897435897435
208,1567.5,228.0,48956.0,31.23189792663477
209,1575.0,241.0,49197.0,31.236190476190476
210,1582.5,216.0,49413.0,31.224644549763035
211,1590.0,253.0,49666.0,31.236477987421384
212,1597.5,237.0,49903.0,31.238184663536778
213,1605.0,227.0,50130.0,31.233644859813083
214,1612.5,228.0,50358.0,31.229767441860464
215,1620.0,227.0,50585.0,31.22530864197531
216,1627.5,215.0,50800.0,31.213517665130567
217,1635.0,220.0,51020.0,31.204892966360855
218,1642.5,236.0,51256.0,31.206088280060882
219,1650.0,244.0,51500.0,31.21212121212121
220,1657.5,223.0,51723.0,31.205429864253393
221,1665.0,245.0,51968.0,31.21201201201201
222,1672.5,229.0,52197.0,31.208968609865472
223,1680.0,218.0,52415.0,31.199404761904763
224,1687.5,225.0,52640.0,31.194074074074074
225,1695.0,230.0,52870.0,31.19174041297935
226,1702.5,227.0,53097.0,31.187665198237884
227,1710.0,242.0,53339.0,31.192397660818713
228,1717.5,222.0,53561.0,31.185443959243084
229,1725.0,271.0,53832.0,31.20695652173913
230,1732.5,257.0,54089.0,31.22020202020202
231,1740.0,259.0,54348.0,31.23448275862069
232,1747.5,257.0,54605.0,31.24749642346209
233,1755.0,247.0,54852.0,31.254700854700854
234,1762.5,276.0,55128.0,31.278297872340424
235,1770.0,215.0,55343.0,31.267231638418078
236,1777.5,238.0,55581.0,31.269198312236288
237,1785.0,222.0,55803.0,31.26218487394958
238,1792.5,235.0,56038.0,31.262482566248256
239,1800.0,241.0,56279.0,31.266111111111112
240,1807.5,247.0,56526.0,31.273029045643153
241,1815.0,245.0,56771.0,31.278787878787877
242,1822.5,237.0,57008.0,31.280109739369
243,1830.0,227.0,57235.0,31.275956284153004
244,1837.5,264.0,57499.0,31.291972789115647
245,1845.0,254.0,57753.0,31.302439024390242
246,1852.5,224.0,57977.0,31.296626180836707
247,1860.0,217.0,58194.0,31.287096774193547
248,1867.5,233.0,58427.0,31.286211512717536
249,1875.0,219.0,58646.0,31.277866666666668
250,1882.5,225.0,58871.0,31.27277556440903
251,1890.0,249.0,59120.0,31.280423280423282
252,1897.5,239.0,59359.0,31.28274044795784
253,1905.0,243.0,59602.0,31.287139107611548
254,1912.5,230.0,59832.0,31.28470588235294
255,1920.0,216.0,60048.0,31.275
256,1927.5,261.0,60309.0,31.288715953307392
257,1935.0,244.0,60553.0,31.293540051679585
258,1942.5,235.0,60788.0,31.293693693693694
259,1950.0,244.0,61032.0,31.298461538461538
260,1957.5,205.0,61237.0,31.283269476372926
261,1965.0,231.0,61468.0,31.281424936386767
262,1972.5,236.0,61704.0,31.28212927756654
263,1980.0,214.0,61918.0,31.27171717171717
264,1987.5,225.0,62143.0,31.26691823899371
265,1995.0,247.0,62390.0,31.273182957393484
266,2002.5,243.0,62633.0,31.277403245942573
267,2010.0,231.0,62864.0,31.275621890547264
268,2017.5,220.0,63084.0,31.268401486988846
269,2025.0,214.0,63298.0,31.258271604938273
270,2032.5,242.0,63540.0,31.2619926199262
271,2040.0,236.0,63776.0,31.262745098039215
272,2047.5,250.0,64026.0,31.27032967032967
273,2055.0,243.0,64269.0,31.274452554744524
274,2062.5,172.0,64441.0,31.24412121212121
275,2070.0,230.0,64671.0,31.242028985507247
276,2077.5,256.0,64927.0,31.252466907340555
277,2085.0,235.0,65162.0,31.25275779376499
278,2092.5,244.0,65406.0,31.257347670250898
279,2100.0,256.0,65662.0,31.267619047619046
280,2107.5,231.0,65893.0,31.265954922894423
281,2115.0,233.0,66126.0,31.265248226950355
282,2122.5,243.0,66369.0,31.269257950530037
283,2130.0,237.0,66606.0,31.270422535211267
284,2137.5,215.0,66821.0,31.261286549707602
285,2145.0,242.0,67063.0,31.264801864801864
286,2152.5,240.0,67303.0,31.267363530778166
287,2160.0,220.0,67523.0,31.26064814814815
288,2167.5,263.0,67786.0,31.273817762399077
289,2175.0,236.0,68022.0,31.27448275862069
290,2182.5,231.0,68253.0,31.272852233676975
291,2190.0,256.0,68509.0,31.282648401826485
292,2197.5,238.0,68747.0,31.284186575654154
293,2205.0,238.0,68985.0,31.285714285714285
294,2212.5,230.0,69215.0,31.28361581920904
295,2220.0,219.0,69434.0,31.276576576576577
296,2227.5,229.0,69663.0,31.274074074074075
297,2235.0,231.0,69894.0,31.27248322147651
298,2242.5,211.0,70105.0,31.261984392419176
299,2250.0,233.0,70338.0,31.261333333333333
300,2257.5,255.0,70593.0,31.270431893687707
301,2265.0,243.0,70836.0,31.274172185430462
302,2272.5,252.0,71088.0,31.281848184818482
303,2280.0,237.0,71325.0,31.282894736842106
304,2287.5,244.0,71569.0,31.286994535519124
305,2295.0,222.0,71791.0,31.28148148148148
306,2302.5,237.0,72028.0,31.282519001085777
307,2310.0,239.0,72267.0,31.284415584415584
308,2317.5,214.0,72481.0,31.275512405609494
309,2325.0,208.0,72689.0,31.264086021505378
310,2332.5,233.0,72922.0,31.263451232583066
311,2340.0,260.0,73182.0,31.274358974358975
312,2347.5,220.0,73402.0,31.268157614483492
313,2355.0,238.0,73640.0,31.269639065817408
314,2362.5,258.0,73898.0,31.27957671957672
315,2370.0,233.0,74131.0,31.2789029535865
316,2377.5,237.0,74368.0,31.279915878023132
317,2385.0,238.0,74606.0,31.281341719077567
318,2392.5,220.0,74826.0,31.27523510971787
319,2400.0,242.0,75068.0,31.278333333333332
320,2407.5,250.0,75318.0,31.28473520249221
321,2415.0,223.0,75541.0,31.27991718426501
322,2422.5,216.0,75757.0,31.272239422084624
323,2430.0,225.0,75982.0,31.268312757201645
324,2437.5,229.0,76211.0,31.266051282051283
325,2445.0,224.0,76435.0,31.261758691206545
326,2452.5,211.0,76646.0,31.252191641182467
327,2460.0,243.0,76889.0,31.255691056910567
328,2467.5,238.0,77127.0,31.257142857142856
329,2475.0,237.0,77364.0,31.258181818181818
330,2482.5,229.0,77593.0,31.25599194360524
331,2490.0,243.0,77836.0,31.259437751004015
332,2497.5,227.0,78063.0,31.256456456456455
333,2505.0,259.0,78322.0,31.26626746506986
334,2512.5,224.0,78546.0,31.262089552238805
335,2520.0,231.0,78777.0,31.260714285714286
336,2527.5,225.0,79002.0,31.256973293768546
337,2535.0,218.0,79220.0,31.25049309664694
338,2542.5,248.0,79468.0,31.255850540806293
339,2550.0,250.0,79718.0,31.261960784313725
340,2557.5,256.0,79974.0,31.270381231671553
341,2565.0,223.0,80197.0,31.26588693957115
342,2572.5,240.0,80437.0,31.268027210884355
343,2580.0,240.0,80677.0,31.27015503875969
344,2587.5,238.0,80915.0,31.271497584541063
345,2595.0,256.0,81171.0,31.279768786127168
346,2602.5,235.0,81406.0,31.279923150816522
347,2610.0,244.0,81650.0,31.28352490421456
348,2617.5,250.0,81900.0,31.289398280802292
349,2625.0,226.0,82126.0,31.28609523809524
350,2632.5,249.0,82375.0,31.291547958214625
351,2640.0,244.0,82619.0,31.29507575757576
352,2647.5,254.0,82873.0,31.302360717658168
353,2655.0,262.0,83135.0,31.31261770244821
354,2662.5,211.0,83346.0,31.303661971830987
355,2670.0,242.0,83588.0,31.306367041198502
356,2677.5,235.0,83823.0,31.30644257703081
357,2685.0,232.0,84055.0,31.30540037243948
358,2692.5,240.0,84295.0,31.307335190343547
359,2700.0,228.0,84523.0,31.304814814814815
360,2707.5,233.0,84756.0,31.30415512465374
361,2715.0,257.0,85013.0,31.31233885819521
362,2722.5,217.0,85230.0,31.305785123966942
363,2730.0,272.0,85502.0,31.31941391941392
364,2737.5,253.0,85755.0,31.326027397260273
365,2745.0,215.0,85970.0,31.318761384335154
366,2752.5,212.0,86182.0,31.310445049954588
367,2760.0,221.0,86403.0,31.305434782608696
368,2767.5,240.0,86643.0,31.307317073170733
369,2775.0,257.0,86900.0,31.315315315315317
370,2782.5,245.0,87145.0,31.31895777178796
371,2790.0,245.0,87390.0,31.322580645161292
372,2797.5,256.0,87646.0,31.33011617515639
373,2805.0,234.0,87880.0,31.32976827094474
374,2812.5,226.0,88106.0,31.32657777777778
375,2820.0,256.0,88362.0,31.33404255319149
376,2827.5,240.0,88602.0,31.33580901856764
377,2835.0,219.0,88821.0,31.33015873015873
378,2842.5,268.0,89089.0,31.341776605101142
379,2850.0,210.0,89299.0,31.33298245614035
380,2857.5,236.0,89535.0,31.333333333333332
381,2865.0,221.0,89756.0,31.328446771378708
382,2872.5,244.0,90000.0,31.33159268929504
383,2880.0,199.0,90199.0,31.319097222222222
384,2887.5,235.0,90434.0,31.3191341991342
385,2895.0,235.0,90669.0,31.31917098445596
386,2902.5,228.0,90897.0,31.316795865633075
387,2910.0,242.0,91139.0,31.319243986254296
388,2917.5,234.0,91373.0,31.318937446443872
389,2925.0,254.0,91627.0,31.325470085470087
390,2932.5,245.0,91872.0,31.328900255754476
391,2940.0,231.0,92103.0,31.327551020408162
392,2947.5,243.0,92346.0,31.33027989821883
393,2955.0,222.0,92568.0,31.325888324873098
394,2962.5,245.0,92813.0,31.329282700421942
395,2970.0,216.0,93029.0,31.322895622895622
396,2977.5,249.0,93278.0,31.327623845507976
397,2985.0,226.0,93504.0,31.32462311557789
398,2992.5,213.0,93717.0,31.317293233082708
399,3000.0,218.0,93935.0,31.311666666666667
400,3007.5,211.0,94146.0,31.30374064837905
401,3015.0,245.0,94391.0,31.307131011608625
402,3022.5,219.0,94610.0,31.301902398676592
403,3030.0,220.0,94830.0,31.297029702970296
404,3037.5,221.0,95051.0,31.292510288065845
405,3045.0,244.0,95295.0,31.295566502463053
406,3052.5,253.0,95548.0,31.301556101556102
407,3060.0,228.0,95776.0,31.299346405228757
408,3067.5,216.0,95992.0,31.29323553382233
409,3075.0,228.0,96220.0,31.291056910569107
410,3082.5,220.0,96440.0,31.286293592862936
411,3090.0,231.0,96671.0,31.285113268608413
412,3097.5,219.0,96890.0,31.28006456820016
413,3105.0,231.0,97121.0,31.27890499194847
414,3112.5,237.0,97358.0,31.279678714859436
415,3120.0,230.0,97588.0,31.27820512820513
416,3127.5,238.0,97826.0,31.2792965627498
417,3135.0,254.0,98080.0,31.28548644338118
418,3142.5,248.0,98328.0,31.289737470167065
419,3150.0,226.0,98554.0,31.286984126984127
420,3157.5,243.0,98797.0,31.289627870150436
421,3165.0,248.0,99045.0,31.29383886255924
422,3172.5,219.0,99264.0,31.288888888888888
423,3180.0,224.0,99488.0,31.285534591194967
424,3187.5,225.0,99713.0,31.28250980392157
425,3195.0,261.0,99974.0,31.29076682316119
426,3202.5,243.0,100217.0,31.29336455893833
427,3210.0,223.0,100440.0,31.289719626168225
428,3217.5,241.0,100681.0,31.291686091686092
429,3225.0,245.0,100926.0,31.294883720930233
430,3232.5,227.0,101153.0,31.29249806651199
431,3240.0,239.0,101392.0,31.293827160493827
432,3247.5,260.0,101652.0,31.30161662817552
433,3255.0,230.0,101882.0,31.30015360983103
434,3262.5,235.0,102117.0,31.300229885057473
435,3270.0,230.0,102347.0,31.298776758409787
436,3277.5,249.0,102596.0,31.303127383676582
437,3285.0,231.0,102827.0,31.301978691019787
438,3292.5,225.0,103052.0,31.299012908124524
439,3300.0,260.0,103312.0,31.30666666666667
440,3307.5,266.0,103578.0,31.31609977324263
441,3315.0,241.0,103819.0,31.317948717948717
442,3322.5,234.0,104053.0,31.31768246802107
443,3330.0,228.0,104281.0,31.315615615615616
444,3337.5,237.0,104518.0,31.31625468164794
445,3345.0,235.0,104753.0,31.31629297458894
446,3352.5,220.0,104973.0,31.31185682326622
447,3360.0,226.0,105199.0,31.309226190476192
448,3367.5,230.0,105429.0,31.307795100222716
449,3375.0,246.0,105675.0,31.31111111111111
450,3382.5,205.0,105880.0,31.302291204730228
451,3390.0,242.0,106122.0,31.304424778761064
452,3397.5,255.0,106377.0,31.31037527593819
453,3405.0,217.0,106594.0,31.305139500734214
454,3412.5,238.0,106832.0,31.306080586080586
455,3420.0,213.0,107045.0,31.299707602339183
456,3427.5,218.0,107263.0,31.294821298322393
457,3435.0,213.0,107476.0,31.288500727802038
458,3442.5,253.0,107729.0,31.293827160493827
459,3450.0,270.0,107999.0,31.304057971014494
460,3457.5,255.0,108254.0,31.30990600144613
461,3465.0,221.0,108475.0,31.305916305916305
462,3472.5,233.0,108708.0,31.305399568034556
463,3480.0,223.0,108931.0,31.302011494252874
464,3487.5,261.0,109192.0,31.309534050179213
465,3495.0,244.0,109436.0,31.312160228898428
466,3502.5,250.0,109686.0,31.316488222698073
467,3510.0,246.0,109932.0,31.31965811965812
468,3517.5,224.0,110156.0,31.316560056858563
469,3525.0,256.0,110412.0,31.322553191489362
470,3532.5,243.0,110655.0,31.32484076433121
471,3540.0,214.0,110869.0,31.318926553672316
472,3547.5,232.0,111101.0,31.318111346018323
473,3555.0,249.0,111350.0,31.32208157524613
474,3562.5,254.0,111604.0,31.327438596491227
475,3570.0,231.0,111835.0,31.326330532212886
476,3577.5,217.0,112052.0,31.321313766596784
477,3585.0,228.0,112280.0,31.319386331938635
478,3592.5,237.0,112517.0,31.319972164231036
479,3600.0,228.0,112745.0,31.318055555555556
480,3607.5,232.0,112977.0,31.317255717255716
481,3615.0,251.0,113228.0,31.32171507607192
482,3622.5,253.0,113481.0,31.32670807453416
483,3630.0,241.0,113722.0,31.328374655647384
484,3637.5,255.0,113977.0,31.333883161512027
485,3645.0,204.0,114181.0,31.32537722908093
486,3652.5,240.0,114421.0,31.326762491444217
487,3660.0,223.0,114644.0,31.323497267759564
488,3667.5,229.0,114873.0,31.321881390593045
489,3675.0,269.0,115142.0,31.331156462585035
490,3682.5,241.0,115383.0,31.332790224032586
491,3690.0,216.0,115599.0,31.327642276422765
492,3697.5,217.0,115816.0,31.322785665990533
493,3705.0,244.0,116060.0,31.32523616734143
494,3712.5,275.0,116335.0,31.336026936026936
495,3720.0,241.0,116576.0,31.33763440860215
496,3727.5,239.0,116815.0,31.33869885982562
497,3735.0,232.0,117047.0,31.33788487282463
498,3742.5,246.0,117293.0,31.340814963259852
499,3750.0,243.0,117536.0,31.342933333333335
500,3757.5,257.0,117793.0,31.348769128409845
501,3765.0,238.0,118031.0,31.34953519256308
502,3772.5,229.0,118260.0,31.347912524850894
503,3780.0,211.0,118471.0,31.341534391534392
504,3787.5,249.0,118720.0,31.345214521452146
505,3795.0,229.0,118949.0,31.34361001317523
506,3802.5,227.0,119176.0,31.341485864562788
507,3810.0,229.0,119405.0,31.33989501312336
508,3817.5,262.0,119667.0,31.346954813359527
509,3825.0,226.0,119893.0,31.344575163398694
510,3832.5,249.0,120142.0,31.348206131767775
511,3840.0,247.0,120389.0,31.351302083333334
512,3847.5,256.0,120645.0,31.35672514619883
513,3855.0,228.0,120873.0,31.35486381322957
514,3862.5,237.0,121110.0,31.355339805825242
515,3870.0,254.0,121364.0,31.36020671834625
516,3877.5,231.0,121595.0,31.359123146357188
517,3885.0,234.0,121829.0,31.35881595881596
518,3892.5,232.0,122061.0,31.357996146435454
519,3900.0,244.0,122305.0,31.36025641025641
